articolo;localizzazione;tempo;grave;moto;utenti_deboli
Tragedia in tangenziale: la 35enne brasiliana uccisa stava attraversando la strada. Si chiariscono i contorni del tragico incidente avvenuto poco prima delle ore 21.30 del 15 ottobre lungo la tangenziale Sud di Parma, poco prima dell'uscita di strada Argini. La donna, una 35enne brasiliana, investita ed uccisa da un'auto, stava attraversando la strada. Non sono ancora chiare le ragioni per le quali la donna si trovasse in quel punto ma proprio in quel momento un'auto è sopraggiunta e l'ha travolta. Il conducente non è riuscito a frenare il mezzo in tempo e l'impatto è stato violentissimo. Sul posto sono arrivate l'ambulanza e l'automedica: i soccorritori del 118 non hanno potuto fare altro che constatare il decesso della donna. L''autista dell'auto che ha investito la donna si è subito fermato ed ha chiamato i soccorsi. E' sotto choc per quanto accaduto. Le indagini dovranno ricostruire la motivazione che ha spinto la donna a imboccare la tangenziale a piedi con il buio e ad attraversare la strada in quel punto, poco distante dall'uscita di strada Argini.;0;0;0;0;0
Paura in A15, tamponamento tra auto e camion: due feriti gravi al Maggiore. Grave incidente stradale nella mattinata di oggi, venerdì 14 ottobre, lungo l'autostrada A15 nei pressi del casello di Fornovo. Secondo le prime informazioni ci sarebbe stato un violento tamponamento tra un'auto ed un camion. In conseguenza dello scontro due persone sarebbere rimaste gravemente ferite. Sul posto sono arrivati, in pochi minuti, i soccorritori del 118, in particolare l'ambulanza infermieristica di Pontetaro e l'ambulanza dell'Assistenza Pubblica Croce Verde Fornovese. L'infermiere ha immobilizzato e prestato le prime cure ai due feriti, che sono stati poi trasportati d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. I due feriti avrebbero riportato rispettivamente un trauma toracico e ad un braccio e un trauma addominale. Sul posto anche gli agenti della sottosezione della polizia stradale di Berceto che hanno effettuato gli accertamenti previsti per legge e gestito il traffico in zona. I due feriti non sarebbero in pericolo di vita.;0;0;0;0;0
Via Emilio Lepido: scontro tra due tir, uno finisce nel fosso. Ferito un camionista. Brutto incidente oggi pomeriggio, 12 ottobre, in via Emilio Lepido, nei pressi di Pittarello. Due camion si sonoscontrati e uno dei due è finito in un fosso. Uno dei camionisti è rimasto ferito (media gravità). Tipercussioni sul traffico con code e rallentamenti. I fatti: intorno alle 15 in via Emilio Lepido (intersezione strada nuova di Coloreto), due mezzi pesanti si sono scontrati. I camionisti coinvolti sono un uomo di anni 40 residente nel Reggiano (incolume) e un cittadino di origine tunisina che risulta ricoverato all'ospedale Maggiore in condizioni di media gravità. Sul posto sono intervenuti l'automedica dell'Assistenza Pubblica di Parma un'ambulanza della Cri e i vigili del fuoco che hanno provveduto alla messa in sicurezza. A causa dello scontro la cabina dell'autocarro condotto dal 40enne si è parzialmente distaccata dal telaio e il camion ha terminato la propria corsa nel canale a lato della banchina adagiandosi su un fianco. La dinamica del sinistro è ancora al vaglio degli agenti della Polizia locale di Parma anche se appare plausibile che l'origine sia attribuibile ad una mancata precedenza. Entrambi i conducenti sono stati sottoposti ad accertamenti per la verifica di alcool nel sangue ed eventuali sostanze stupefacenti per le quali occorrerà aspettare le risultanze ematiche. Il sinistro ha avuto importanti ripercussioni sulla circolazione con disagi durati circa due ore per ripristinare completamente la viabilità.;0;0;0;0;0
Auto si schianta contro il guardrail nella notte in A1, due feriti: conducente grave al Maggiore. Grave incidente stradale nella notte tra martedì 11 e mercoledì 12 ottobre lungo l'autostrada A1, all'altezza del chilometro 108 Nord, in direzione Milano. Per cause in corso di accertamento un'auto si è schiantata contro il guardrail poco dopo mezzanotte e mezza. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure alle due persone che si trovavano all'interno del veicolo. Il conducente è stato trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Le sue condizioni di salute sarebbero gravi ma non si troverebbe in pericolo di vita. Anche il passeggero è rimasto ferito ma fortunatamente ha riportato solo traumi di lieve entità. Sul posto anche la polizia stradale per i rilievi di legge.;0;0;0;0;0
"Il ricordo di Loris, morto nell'incidente di Busseto: ""Gentile ed educato, sarai per sempre nei nostri cuori"". Ha perso il controllo della sua moto in curva lungo la strada che da Roncole Verdi porta a Busseto. Loris Magro, 29enne di Busseto, è deceduto sul colpo in seguito alla ferite riportate nel corso dell'incidente di sabato mattina. Busseto è sotto choc per la morte del giovane, molto conosciuto in paese. Nelle ore successive alla tragedia sono stati tanti gli amici che hanno scritto un ricordo di Loris sul suo profilo Facebook e sugli altri social. Una vita spezzata mentre era a bordo della sua moto, una delle sue grandi passioni. ""Ancora non ci credo e non ci voglio credere - ha scritto un suo amico sulla sua pagina Facebook. Io voglio ricordarti li amico mio, dove tutti a Busseto siamo cresciuti, nel parchetto che accompagnava le nostre infinite giornate, il nostro punto di ritrovo. Loris sarai per sempre nel nostro cuore. Riposa in pace amico mio"". ""Una persona davvero d'oro gentile umile ed educato. Ciao Loris le mie più sentite condoglianze a tutta la famiglia"" è un altro dei messaggi che sono arrivati tra sabato e domenica.";0;0;0;0;0
Paura nella notte: auto si schianta contro un muro a Cella di Noceto. Paura nella notte a Cella, frazione del comune di Noceto. Per cause in corso di accertamento un'auto si è schiantata contro il muro di un'abitazione mentre percorreva la strada provinciale. Secondo le prime informazioni in conducente ha perso il controllo del veicolo, che ha finito la sua corsa contro la casa. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, che hanno prestato le prime cure al ferito. Fortunatamente il conducente ha riportato solo ferite lievi. Sul posto anche i vigili del fuoco che hanno lavorato per mettere in sicurezza l'area dell'incidente.;0;0;0;0;0
Scontro auto-bici in via Sassari: ciclista grave al Maggiore. Grave incidente stradale nella tarda serata di domenica 9 ottobre a Parma, all'incrocio tra via Sassari e Via Cagliari, nel quartiere San Leonardo. Per cause in corso di accertamento un'auto e una bicicletta si sono scontrate. Il ciclista è stato sbalzato sull'asfalto e ha riportato traumi in varie parti del corpo. Sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure al ferito, per poi trasportarlo al pronto soccorso dell'Ospedale Maggiore di Parma. Secondo le prime informazioni le sue condizioni sarebbero gravi ma non si troverebbe in pericolo di vita. Sul posto anche la poliza locale che ha effettuato i rilievi previsti per legge.;0;0;0;0;0
Auto investe tre pedoni in piazzale Caduti del Lavoro: trasportati d'urgenza in ospedale. Grande paura in piazzale Caduti del Lavoro nella mattinata di venerdì 7 ottobre. Per cause in corso di accertamento un'auto ha investito tre pedoni che si trovavano in quel momento nei pressi della piazza. L'allarme è scattato poco dopo le ore 11 e sul posto sono arrivati i soccorritori del 118 che hanno prestato le prime cure ai feriti, per trasportarli poi d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Sul posto anche la polizia locale, che ha effettuato i rilievi previsti per legge e sta cercando di ricostruire l'incidente nel dettaglio. Secondo le prime informazini i tre feriti avrebbero riportato traumi in varie parti del corpo, sarebbero gravi ma non in pericolo di vita. IN AGGORNAMENTO;0;0;0;0;0
San Quirico, auto si ribalta e finisce nel canale: ferito grave al Maggiore. Grave incidente stradale nelle prime ore della mattinata di oggi, martedì 4 ottobre, a San Quirico, nel comune di Trecasali. Per cause in corso di accertamento un'auto, che stava percorrendo strada Mazzacavallo, si è ribaltata ed è finita nel canale. Secondo le prime informazioni l'incidente non avrebbe coinvolto altri veicoli. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 con l'ambulanza e l'automedica, oltre ai vigili del fuoco che hanno lavorato per mettere in sicurezza l'area. La polizia locale ha effettuato i rilievi previsti per legge e gestito il traffico in zona. Il conducente è stato trasportato d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Le sue condizioni di salute sarebbero gravi ma non si troverebbe in pericolo di vita.;0;0;0;0;0
Monopattino si schianta contro un'auto all'alba a Fidenza: ferito grave in ospedale. Grave incidente stradale nelle prime ore della mattinata di lunedì 3 ottobre a Fidenza, in via XXIV Maggio. Per cause in corso di accertamento un'auto e un monopattino si sono scontrati, in corrispondenza di un incrocio. L'allarme è scattato verso le 6 e 40: sul posto sono arrivati i soccorritori del 118, l'ambulanza infermieristica di Fidenza e l'automedica. In conseguenza dello scontro la persona a bordo del monopattino è rimasta gravemente ferita ed è stata trasportata d'urgenza al pronto soccorso dell'Ospedale Maggiore di Parma. Sul posto anche le forze dell'ordine per i rilievi previsti per legge.;0;0;0;0;0
