articolo;localizzazione;tempo;grave;moto;utenti_deboli
"Il sindaco di Bardi Valentina Pontremoli ricorda Don Luigi Brigati, il parroco della Val Noveglia, morto a 85 anni nella mattinata del 21 aprile in un tragico incidente stradale. La sua auto è uscita di strada e si è schiantata contro una pianta in località Baracca Ceno. ""L'ho incontrato proprio stamattina - sottolinea il sindaco a Parmatoday - ci eravamo salutati in piazza. La sua morte rappresenta un grande dolore che colpisce tutta la comunità di Bardi e della Val Noveglia. Come sindaco e come rappresentante della comunità ci tengo a ricordarlo. Lo salutiamo tutti con affetto. Era sempre disponibile con tutti. Quando mi incrociava in paese aveva sempre una parola d'affetto per me. Aveva davvero un cuore d'oro. Era anche un caro amico di mio nonno""";Baracca Ceno;1;1;0;0
Tragedia sfiorata lungo l'autostrada A1 tra i caselli di Terre di Canossa e di Reggio Emilia in direzione Bologna nel pomeriggio del 21 aprile. Un'auto è stata travolta in pieno da un carico di marmo, trasportato da un mezzo pesante. Secondo le prime informazioni dopo un contatto tra l'auto e il camion, per cause in corso di accertamento, il rimorchio si sarebbe ribaltato, andato a finire proprio contro l'auto. Fortunatamente nessuna delle persone coinvolte è rimasta ferita in modo serio. All'interno dell'auto anche due bambini, che sono rimasti miracolosamente illesi. Sul posto le ambulanze, la polizia stradale e i vigili del fuoco. In conseguenza dell'incidente si sono formati circa sei chilometri di coda. Il tratto dell'A1 tra Terre di Canossa e Reggio Emilia è stato chiuso: all'interno altri 5 chilometri di coda. Auto travolta da un carico di marmo di un tir in A1 AUTOSTRADE - Sulla A1 Milano Napoli, tra Terre di Canossa e Reggio Emilia verso Bologna, è stata disposta la chiusura del tratto, al cui interno il traffico è bloccato con 5 km di coda in aumento, per il ribaltamento del rimorchio di un camion, che trasportava marmo ed altro materiale, avvenuto all' altezza del km 129.. Il carico ha invaso anche la carreggiata nord, dove si transita sulla sola corsia di marcia e si registra una coda di 2 km tra Reggio Emilia e Terre di Canossa. Per il traffico locale, chi viaggia verso Bologna, deve uscire a Terre di Canossa, dove ci sono code di 6 km, e può rientrare in autostrada a Reggio Emilia, dopo aver percorso la SS9 via Emilia. Per le lunghe percorrenze, a chi viaggia verso Firenze, consigliamo di percorrere la A15 Parma-La Spezia, la A12 Genova-Rosignano e poi la A11 Firenze mare. . A chi, invece, viaggia verso Bologna e l' Adriatica consigliamo di percorrere la A4 Milano-Brescia e la A22 Brennero-Modena. Tutti i mezzi di soccorso si trovano sul luogo dell' evento.;0;0;0;0;0
E' deceduto nel pomeriggio del 21 aprile all'Ospedale Maggiore di Parma in seguito alle ferite riportare in un gravissimo incidente stradale che lo ha visto coinvolto Don Luigi Brigati, l'85enne parroco di Noveglia, frazione di Bardi. L'anziano sacerdote, che guidava l'auto che è uscita di strada ed è andata a finire contro una pianta nella mattinata di oggi, non ce l'ha fatta. Dopo il trasporto con l'elisoccorso all'Ospedale Maggiore è deceduto. Don Luigi Brigati era parroco di Noveglia dal 1969. Tutta le comunità della Val Ceno e dell'Alta Val Ceno sono oggi in lutto per la sua scomparsa. Don Luigi Brigati esercitava la sua missione pastorale in 5 parrocchie: Monastero, Pieve, Comune Stradella, Campello e Lezzara. Nel 2019 si era tenuta la presentazione di un libro dedicato al mezzo secolo di Don Brigati in val Noveglia. Quando la notizia si è diffusa tutti gli abitanti delle frazioni dell'Alta Val Ceno si sono raccolti nel dolore per testimoniare la vicinanza al loro parroco.;0;0;0;0;0
Grave incidente mortale nella mattinata di oggi, venerdì 21 aprile, nella zona di Bardi. Per cause in corso di accertamento l'auto guidata da Don Luigi Brigati, parroco 85enne di Noveglia, è finita contro una pianta in località Baracca Ceno. Il conducente, gravemente ferito è stato trasportato all'Ospedale Maggiore con l'elisoccorso. Nel primo pomeriggio Don Luigi Brigati è deceduto in seguito alle ferite riportate. Sul posto i vigili del fuoco di Borgotaro, i carabinieri di Borgotaro - che hanno effettuato i rilievi previsti per legge - lambulanza di Bardi e lauto infermieristica di Varsi. Sono in corso di accertamento le cause dell'incidente, che avrebbe coinvolto solo il veicolo guidato dall'uomo.;0;0;0;0;0
Pauroso incidente in via Duca Alessandro. Un anziano è stato investito da un auto ed è stato trasportato d'urgenza all'Ospedale Maggiore di Parma. Le sue condizioni sono apparse subito gravi, dato che l'urto gli ha provocato ferite varie. L'anziano ha perso molto sangue. Sul posto la Polizia Municipale e gli operatori del 118.;0;0;0;0;0
Grave incidente stradale nella tarda mattinata di giovedì 20 aprile. Secondo le prime informazioni un furgone, che stava percorrendo la strada che collega Compiano a Bedonia, si è ribaltato, per cause in corso di accertamento, nei pressi della località Barbigarezza, frazione di Compiano. L'incidente è avvenuto poco prima delle ore 12. Il conducente del mezzo è rimasto incastrato all'interno dell'abitacolo. Sul posto sono arrivati i soccorritori dell'ambulanza infermieristica della Croce Rossa di Bedonia e i vigili del fuoco di Borgotaro, che hanno liberato l'uomo. I sanitari del 118 hanno fornito le prime cure per poi trasportarlo al pronto soccorso dell'Ospedale di Borgotaro per accertamenti. Sul posto anche i carabinieri di Borgotaro che hanno effettuato gli accertamenti previsti per legge.;0;0;0;0;0
Paura per un motociclista caduto prima delle ore 9 della mattinata di giovedì 20 aprile a Baganzola. Secondo le prime informazioni il conducente della moto, un ragazzo minorenne, sarebbe caduto rovinosamente sull'asfalto per cause in corso di accertamento. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 con l'ambulanza e l'automedica. Gli operatori del 118 hanno prestato le prime cure al ferito per poi trasportarlo al pronto soccorso dell'Ospedale Maggiore di Parma. Le sue condizioni di salute sono gravi ma non è in pericolo di vita. Sul posto anche la polizia locale che ha effettuato i rilievi previsti per legge.;0;0;0;0;0
Grave incidente stradale nella mattinata di mercoledì 19 aprile lungo viale Berenini a Parma. Un pedone è stato investito da un'auto mentre si trovava lungo la carreggiata. Erano da poco passare le ore 10 quando, per cause in corso di accertamento, una persona è stata urtata dal veicolo. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118 con l'ambulanza e l'automedica. Le condizioni del ferito sono di media gravità: dopo le prime cure sul posto è stato trasportato al pronto soccorso dell'Ospedale Maggiore di Parma. Sul posto anche la polizia locale per i rilievi previsti per legge.;0;0;0;0;0
Grave incidente stradale nel pomeriggio di lunedì 17 aprile lungo l'autostrada A1, all'altezza dello svincolo per l'A15. Un tir, che stava percorrendo la corsia in direzione Milano, si è ribaltato per cause in corso di accertamento mentre si trovava nella zona di Pontetaro. L'allarme è scattato da subito e sul posto sono arrivati i soccorritori del 118, l'ambulanza infermieristica di Pontetaro, oltre ai vigili del fuoco e alla polizia stradale. Il camionista 65enne è rimasto incastrato all'interno della cabina ed è stato liberato dai vigili del fuoco. I sanitari lo hanno immobilizzato e poi trasportato in codice rosso al pronto soccorso dell'Ospedale Maggiore di Parma. Le sue condizioni di salute sono serie: avrebbe riportato un forte trauma cranico. L'incidente non avrebbe coinvolto altri veicoli. La polizia stradale ha gestito il traffico in zona: si sono creati alcuni rallentamenti allo svincolo tra l'A1 e l'A15.;0;0;0;0;0
Paura nella mattinata di oggi, domenica 16 aprile, nella zona di Bazzano, frazione del comune di Neviano degli Arduni. Un ciclista di 36 anni, che era impegnato lungo un percorso su un sentiero sterrato, è caduto a terra provocandosi alcune ferite. L'incidente è avvenuto poco prima delle ore 11. Sul posto sono arrivate l'ambulanza e l'automedica della Croce Azzurra di Traversetolo. Dall'Ospedale Maggiore si è alzato in volo l'elisoccorso. Secondo le prime informazioni le condizioni del ciclista ferito, che è stato trasportato al pronto soccorso con l'elicottero, sarebbero gravi ma non si troverebbe in pericolo di vita. Il 36enne stava percorrendo, a bordo del mezzo a due ruote, un sentiero lungo una strada sterrata quando ad un certo punto è rovinosamente caduto.;0;0;0;0;0
